2024-05-11 10:18:07 | INFO | stdout | INFO:     127.0.0.1:38404 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:08 | INFO | stdout | INFO:     127.0.0.1:38406 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:12 | INFO | stdout | INFO:     127.0.0.1:38408 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:13 | INFO | stdout | INFO:     127.0.0.1:38410 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:17 | INFO | stdout | INFO:     127.0.0.1:38412 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:18 | INFO | stdout | INFO:     127.0.0.1:38414 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:18 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [0.0, 0.0, 0.0], ret: http://localhost:21003
2024-05-11 10:18:18 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 0.0, 0.0], ret: http://localhost:21004
2024-05-11 10:18:18 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 1.0, 0.0], ret: http://localhost:21002
2024-05-11 10:18:22 | INFO | stdout | INFO:     127.0.0.1:38452 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:23 | INFO | stdout | INFO:     127.0.0.1:38454 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:27 | INFO | stdout | INFO:     127.0.0.1:38456 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:28 | INFO | stdout | INFO:     127.0.0.1:38458 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:28 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 1.0, 1.0], ret: http://localhost:21003
2024-05-11 10:18:28 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 1.0], ret: http://localhost:21004
2024-05-11 10:18:29 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 2.0, 1.0], ret: http://localhost:21002
2024-05-11 10:18:32 | INFO | stdout | INFO:     127.0.0.1:38490 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:33 | INFO | stdout | INFO:     127.0.0.1:38492 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:37 | INFO | stdout | INFO:     127.0.0.1:38494 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:38 | INFO | stdout | INFO:     127.0.0.1:38496 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:38 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 1.0, 2.0], ret: http://localhost:21003
2024-05-11 10:18:38 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 2.0], ret: http://localhost:21004
2024-05-11 10:18:42 | INFO | stdout | INFO:     127.0.0.1:38518 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:43 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 2.0], ret: http://localhost:21004
2024-05-11 10:18:43 | INFO | stdout | INFO:     127.0.0.1:38530 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:43 | INFO | stdout | INFO:     127.0.0.1:38532 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:47 | INFO | stdout | INFO:     127.0.0.1:38534 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:48 | INFO | stdout | INFO:     127.0.0.1:38536 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:48 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 2.0, 0.0], ret: http://localhost:21002
2024-05-11 10:18:48 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 2.0, 1.0], ret: http://localhost:21003
2024-05-11 10:18:52 | INFO | stdout | INFO:     127.0.0.1:38558 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:53 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 1.0], ret: http://localhost:21004
2024-05-11 10:18:53 | INFO | stdout | INFO:     127.0.0.1:38570 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:57 | INFO | stdout | INFO:     127.0.0.1:38572 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:58 | INFO | stdout | INFO:     127.0.0.1:38574 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:18:58 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 1.0, 1.0], ret: http://localhost:21003
2024-05-11 10:19:00 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 1.0], ret: http://localhost:21004
2024-05-11 10:19:02 | INFO | stdout | INFO:     127.0.0.1:38596 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:03 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 2.0, 1.0], ret: http://localhost:21002
2024-05-11 10:19:03 | INFO | stdout | INFO:     127.0.0.1:38608 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:07 | INFO | stdout | INFO:     127.0.0.1:38610 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:08 | INFO | stdout | INFO:     127.0.0.1:38612 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:08 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 1.0, 2.0], ret: http://localhost:21003
2024-05-11 10:19:10 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 2.0], ret: http://localhost:21004
2024-05-11 10:19:12 | INFO | stdout | INFO:     127.0.0.1:38634 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:13 | INFO | stdout | INFO:     127.0.0.1:38636 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:17 | INFO | stdout | INFO:     127.0.0.1:38638 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:18 | INFO | stdout | INFO:     127.0.0.1:38640 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:18 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 1.0, 2.0], ret: http://localhost:21003
2024-05-11 10:19:20 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 2.0], ret: http://localhost:21004
2024-05-11 10:19:21 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 2.0, 2.0], ret: http://localhost:21003
2024-05-11 10:19:22 | INFO | stdout | INFO:     127.0.0.1:38672 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:23 | INFO | stdout | INFO:     127.0.0.1:38674 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:27 | INFO | stdout | INFO:     127.0.0.1:38676 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:28 | INFO | stdout | INFO:     127.0.0.1:38678 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:28 | INFO | stdout | INFO:     127.0.0.1:38680 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:28 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 0.0], ret: http://localhost:21002
2024-05-11 10:19:30 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 1.0], ret: http://localhost:21004
2024-05-11 10:19:31 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 2.0, 1.0], ret: http://localhost:21002
2024-05-11 10:19:32 | INFO | stdout | INFO:     127.0.0.1:38712 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:33 | INFO | stdout | INFO:     127.0.0.1:38714 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:37 | INFO | stdout | INFO:     127.0.0.1:38716 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:38 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [0.0, 1.0, 2.0], ret: http://localhost:21003
2024-05-11 10:19:38 | INFO | stdout | INFO:     127.0.0.1:38728 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:40 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 1.0, 2.0], ret: http://localhost:21003
2024-05-11 10:19:40 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 2.0], ret: http://localhost:21004
2024-05-11 10:19:42 | INFO | stdout | INFO:     127.0.0.1:38750 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:43 | INFO | stdout | INFO:     127.0.0.1:38752 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:47 | INFO | stdout | INFO:     127.0.0.1:38754 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:48 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 2.0], ret: http://localhost:21004
2024-05-11 10:19:48 | INFO | stdout | INFO:     127.0.0.1:38766 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:50 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 2.0, 2.0], ret: http://localhost:21003
2024-05-11 10:19:50 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 2.0, 2.0], ret: http://localhost:21003
2024-05-11 10:19:52 | INFO | stdout | INFO:     127.0.0.1:38788 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:53 | INFO | stdout | INFO:     127.0.0.1:38790 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:57 | INFO | stdout | INFO:     127.0.0.1:38792 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:19:58 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 2.0], ret: http://localhost:21004
2024-05-11 10:19:58 | INFO | stdout | INFO:     127.0.0.1:38804 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:00 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 2.0, 2.0], ret: http://localhost:21003
2024-05-11 10:20:00 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [3.0, 2.0, 2.0], ret: http://localhost:21004
2024-05-11 10:20:02 | INFO | stdout | INFO:     127.0.0.1:38826 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:03 | INFO | stdout | INFO:     127.0.0.1:38828 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:07 | INFO | stdout | INFO:     127.0.0.1:38830 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:08 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 2.0, 2.0], ret: http://localhost:21003
2024-05-11 10:20:08 | INFO | stdout | INFO:     127.0.0.1:38842 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:10 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 2.0, 2.0], ret: http://localhost:21003
2024-05-11 10:20:10 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [3.0, 2.0, 2.0], ret: http://localhost:21004
2024-05-11 10:20:12 | INFO | stdout | INFO:     127.0.0.1:38864 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:13 | INFO | stdout | INFO:     127.0.0.1:38866 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:13 | INFO | stdout | INFO:     127.0.0.1:38868 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:17 | INFO | stdout | INFO:     127.0.0.1:38870 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:18 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 0.0], ret: http://localhost:21002
2024-05-11 10:20:18 | INFO | stdout | INFO:     127.0.0.1:38882 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:20 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 1.0, 1.0], ret: http://localhost:21003
2024-05-11 10:20:20 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 1.0], ret: http://localhost:21004
2024-05-11 10:20:22 | INFO | stdout | INFO:     127.0.0.1:38904 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:23 | INFO | stdout | INFO:     127.0.0.1:38906 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:27 | INFO | stdout | INFO:     127.0.0.1:38908 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:28 | INFO | stdout | INFO:     127.0.0.1:38910 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:30 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 1.0, 1.0], ret: http://localhost:21003
2024-05-11 10:20:30 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 1.0], ret: http://localhost:21004
2024-05-11 10:20:32 | INFO | stdout | INFO:     127.0.0.1:38932 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:33 | INFO | stdout | INFO:     127.0.0.1:38934 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:36 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [1.0, 1.0, 1.0], ret: http://localhost:21003
2024-05-11 10:20:37 | INFO | stdout | INFO:     127.0.0.1:38946 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:38 | INFO | stdout | INFO:     127.0.0.1:38948 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2024-05-11 10:20:40 | INFO | controller | names: ['http://localhost:21003', 'http://localhost:21004', 'http://localhost:21002'], queue_lens: [2.0, 1.0, 1.0], ret: http://localhost:21004
